9000011000,Jon Yang,9000011000@foursquareUM.com,3761 N. 14th St
9000011001,Eugene Huang,9000011001@foursquareUM.com,2243 W St.
9000011002,Ruben Torres,9000011002@foursquareUM.com,5844 Linden Land
9000011003,Christy Zhu,9000011003@foursquareUM.com,1825 Village Pl.
9000011004,Elizabeth Johnson,9000011004@foursquareUM.com,7553 Harness Circle
9000011005,Julio Ruiz,9000011005@foursquareUM.com,7305 Humphrey Drive
9000011006,Janet Alvarez,9000011006@foursquareUM.com,2612 Berry Dr
9000011007,Marco Mehta,9000011007@foursquareUM.com,942 Brook Street
9000011008,Rob Verhoff,9000011008@foursquareUM.com,624 Peabody Road
9000011009,Shannon Carlson,9000011009@foursquareUM.com,3839 Northgate Road
9000011010,Jacquelyn Suarez,9000011010@foursquareUM.com,7800 Corrinne Court
9000011011,Curtis Lu,9000011011@foursquareUM.com,1224 Shoenic
9000011012,Lauren Walker,9000011012@foursquareUM.com,4785 Scott Street
9000011013,Ian Jenkins,9000011013@foursquareUM.com,7902 Hudson Ave.
9000011014,Sydney Bennett,9000011014@foursquareUM.com,9011 Tank Drive
9000011015,Chloe Young,9000011015@foursquareUM.com,244 Willow Pass Road
9000011016,Wyatt Hill,9000011016@foursquareUM.com,9666 Northridge Ct.
9000011017,Shannon Wang,9000011017@foursquareUM.com,7330 Saddlehill Lane
9000011018,Clarence Rai,9000011018@foursquareUM.com,244 Rivewview
9000011019,Luke Lal,9000011019@foursquareUM.com,7832 Landing Dr
9000011020,Jordan King,9000011020@foursquareUM.com,7156 Rose Dr.
9000011021,Destiny Wilson,9000011021@foursquareUM.com,8148 W. Lake Dr.
9000011022,Ethan Zhang,9000011022@foursquareUM.com,1769 Nicholas Drive
9000011023,Seth Edwards,9000011023@foursquareUM.com,4499 Valley Crest
9000011024,Russell Xie,9000011024@foursquareUM.com,8734 Oxford Place
9000011025,Alejandro Beck,9000011025@foursquareUM.com,2596 Franklin Canyon Road
9000011026,Harold Sai,9000011026@foursquareUM.com,8211 Leeds Ct.
9000011027,Jessie Zhao,9000011027@foursquareUM.com,213 Valencia Place
9000011028,Jill Jimenez,9000011028@foursquareUM.com,9111 Rose Ann Ave
9000011029,Jimmy Moreno,9000011029@foursquareUM.com,6385 Mark Twain
9000011030,Bethany Yuan,9000011030@foursquareUM.com,636 Vine Hill Way
